Record ID,Nome do negócio,Valor na moeda da empresa,Etapa do negócio,Data de criação,Negocios_Criados,Data de fechamento,Pipeline,Agendamentos,Agendamento_Aceito,Diagnostico,Proposta,Cliente,ultima_etapa
11369948255,LOTS Group,,Negócio perdido,2022-12-16 13:57:40.375,Sim,2022-12-31 13:57:22.601,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
11370793629,Eurochem (Retorno),,Agendamentos Aceitos (SAL),2022-12-15 15:45:51.903,Sim,2022-12-31 15:45:35.358,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
11266793340,SuperPrix,,Negócio perdido,2022-12-08 08:55:14.715,Sim,2022-12-31 08:54:51.310,Enterprise - Macfor Dealflow,Sim,Nao,Nao,Nao,Nao,Agendamentos
11234907490,Fintechmagalu,,Negócio perdido,2022-12-06 10:03:04.872,Sim,2022-12-31 10:02:04.798,Enterprise - Macfor Dealflow,Nao,Nao,Nao,Nao,Nao,Negocios_Criados
11222170137,Pottencial Seguradora,,Negócio perdido,2022-12-05 08:56:43.052,Sim,2022-12-31 08:56:25.878,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
11156847374,BRF,,Negócio perdido,2022-11-30 08:56:19.927,Sim,2022-11-30 08:55:57.013,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
11146533800,Banco next,,Negócio perdido,2022-11-29 17:14:27.090,Sim,,Enterprise - Macfor Dealflow,Sim,Nao,Nao,Nao,Nao,Agendamentos
11074697233,Carrefour,,Negócio perdido,2022-11-24 11:14:09.974,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
11070312612,Grupo ATTO,,Negócio perdido,2022-11-23 21:27:57.052,Sim,,Enterprise - Macfor Dealflow,Sim,Nao,Nao,Nao,Nao,Agendamentos
11067648141,Agua de cheiro,,Negócio perdido,2022-11-23 18:01:02.145,Sim,2022-11-30 18:00:41.706,Enterprise - Macfor Dealflow,Nao,Nao,Nao,Nao,Nao,Negocios_Criados
11027456697,Rennova,,Agendamentos (MQL),2022-11-21 10:27:59.028,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
10994423655,Stara,,Negócio perdido,2022-11-18 09:54:12.067,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
10984262837,Negócio Lord Brasil - Maria,,Agendamentos (MQL),2022-11-17 15:09:46.908,Sim,,Enterprise - Macfor Dealflow,Sim,Nao,Nao,Nao,Nao,Agendamentos
10995330926,Agrotoken,,Negócio perdido,2022-11-17 11:54:28.386,Sim,2022-11-30 11:53:17.813,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
10980854596,Bebidas Poty,,Negócio perdido,2022-11-17 10:46:54.084,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
10969649465,Rumo,,Negócio perdido,2022-11-16 16:38:05.109,Sim,2022-11-23 11:30:06.385,Enterprise - Macfor Dealflow,Sim,Nao,Nao,Nao,Nao,Agendamentos
10886978836,Evino,,Negócio perdido,2022-11-10 16:39:24.316,Sim,2023-01-20 16:32:49.535,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
10859783191,Hospital Alemão Oswaldo Cruz,,Negócio perdido,2022-11-08 16:46:39.474,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
10844814487,AD'ORO,,Agendamentos (MQL),2022-11-07 15:23:25.188,Sim,,Enterprise - Macfor Dealflow,Sim,Nao,Nao,Nao,Nao,Agendamentos
10766607698,Negócio Jussara Laticineos - Messias,,Agendamentos (MQL),2022-11-01 09:16:37.545,Sim,,Enterprise - Macfor Dealflow,Nao,Nao,Nao,Nao,Nao,Negocios_Criados
10677021007,Accor,,Negócio perdido,2022-10-24 16:35:41.004,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
10630221896,Wiley,,Negócio perdido,2022-10-20 09:43:11.731,Sim,2022-10-31 09:41:33.477,Enterprise - Macfor Dealflow,Sim,Nao,Nao,Nao,Nao,Agendamentos
10619139943,Nestlé,,Negócio perdido,2022-10-19 16:16:08.678,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
10615291916,Negócio KWS Group - Bianca,,Agendamentos (MQL),2022-10-19 09:15:49.961,Sim,,Enterprise - Macfor Dealflow,Sim,Nao,Nao,Nao,Nao,Agendamentos
10615749476,SPRAYTEC,,Negócio perdido,2022-10-18 10:43:42.967,Sim,2022-10-31 10:42:42.663,Enterprise - Macfor Dealflow,Sim,Nao,Nao,Nao,Nao,Agendamentos
10590690171,Zen SA,,Negócio perdido,2022-10-17 09:55:59.878,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
10554387775,Loja Cocamar,,Diagnóstico,2022-10-13 15:27:27.275,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Nao,Nao,Diagnostico
