"Record ID","Nome do negócio","Valor na moeda da empresa","Etapa do negócio","Data de fechamento","Pipeline"
"5902794385","Apsen Farmacêutica - Quintal Dev 30%","15488.68","Cliente","2021-09-10 19:19","Enterprise - Macfor Dealflow"
"5692550038","Inmetrics","144000","Cliente","2021-10-18 15:21","Enterprise - Macfor Dealflow"
"5381991819","Ottobock","251055.6","Negócio perdido","2021-09-22 14:02","Enterprise - Macfor Dealflow"
"5239041433","Syngenta - Plano Culturas","187500","Cliente","2021-06-21 14:25","Enterprise - Macfor Dealflow"
"5129855612","Eurofarma - Moviment C","436085.8","Cliente","2021-06-18 11:17","Enterprise - Macfor Dealflow"
"5043158529","Cocamar","183483.72","Cliente","2021-07-27 12:40","Enterprise - Macfor Dealflow"
"4791125254","Mart Minas","793482.72","Cliente","2021-09-22 19:59","Enterprise - Macfor Dealflow"
"4610570597","Eurofarma - Fortice","11000","Cliente","2021-04-08 14:52","Enterprise - Macfor Dealflow"
"4269224969","Stoller - Renovação","174000","Cliente","2021-05-07 09:26","Enterprise - Macfor Dealflow"
"4076605269","Apsen - Concorrência Digital","1704000","Cliente","2021-05-27 17:08","Enterprise - Macfor Dealflow"
"4026644143","Bunge Profissional - Bid (75% FM)","296715.06","Cliente","2021-05-06 15:45","Enterprise - Macfor Dealflow"
"4014966192","Eurofarma - AltaD","7286","Cliente","2021-03-29 21:21","Enterprise - Macfor Dealflow"
