"Record ID","Nome do negócio","Data de criação","Data de fechamento","Etapa do negócio","Valor","Valor do contrato anual","Receita anual recorrente","Valor total do contrato","Valor previsto","Valor na moeda da empresa","Valor do negócio projetado na moeda local","Valor do negócio projetado","Motivo de fechamento perdido"
"7315686716","Bradesco Seguros","2021-12-22 10:05","2022-02-14 12:31","Negócio perdido","","","","","","","","","Sumiu"
"7276813832","Banco Safra","2021-12-17 15:16","2022-04-20 12:15","Negócio perdido","","","","","","","","","Maturação; Timing"
"7274350383","Sonda","2021-12-17 11:33","2022-04-20 12:22","Negócio perdido","","","","","","","","","Timing; Maturação"
"7254907909","Stocche Forbes Advogados","2021-12-15 10:14","","Negócio perdido","","","","","","","","","Sumiu"
"7234053502","Sapore","2021-12-13 11:46","2022-04-20 12:16","Negócio perdido","","","","","","","","","Desinteresse/Declinou; Saiu da Empresa"
"7204413836","BSI","2021-12-09 15:08","","Negócio perdido","","","","","","","","","Não é ICP"
"7195219797","Gomes da Costa (Grupo Calvo)","2021-12-08 13:14","2022-05-31 15:57","Negócio perdido","","","","","","","","","Sumiu; Maturação"
"7069468764","Arla Foods Ingredients","2021-12-02 15:44","","Negócio perdido","","","","","","","","","Timing"
"7058385200","NTT DATA Corporation","2021-12-01 17:51","2022-04-20 12:11","Negócio perdido","","","","","","","","","Maturação; Timing"
"7059246430","Banco Next","2021-12-01 17:43","2021-12-31 17:43","Negócio perdido","808140.0","","","","808140.0","808140.0","0.0","0.0","Timing; Desinteresse/Declinou"
"7044610073","Copa Airlines","2021-11-30 09:49","2022-04-20 12:10","Negócio perdido","","","","","","","","","Maturação; Timing"
"6992349113","WEG","2021-11-23 11:32","2022-07-01 16:37","Negócio perdido","","","","","","","","","Sumiu"
"6964380599","Bom Jesus","2021-11-19 19:22","2021-12-01 18:19","Negócio perdido","","","","","","","","","Desinteresse/Declinou; Timing"
"6939016495","Oral Sin","2021-11-16 17:20","2022-05-17 16:25","Negócio perdido","458150.16","","","","458150.16","458150.16","0.0","0.0","Fechou com Concorrente; Financeiro"
"6912322909","Assaí ","2021-11-12 20:22","2022-04-20 12:15","Negócio perdido","","","","","","","","","Não é ICP; Nós Declinamos"
"6908332884","Start Química","2021-11-12 13:22","2022-04-20 12:16","Negócio perdido","","","","","","","","","Não é ICP; Financeiro"
"6899678592","Kerry","2021-11-11 15:38","","Negócio perdido","","","","","","","","","Não é ICP"
"6873735277","Urgo Medical","2021-11-08 19:14","","Negócio perdido","","","","","","","","","Financeiro; Fechou com Concorrente"
