"Record ID","Nome da empresa","Proprietário da empresa","Data de criação","Número de telefone","Data da última atividade","Cidade","País/Região","Setor","Valor da venda recente","Valor total dos negócios abertos"
"10403719745","be_air","Leonardo Marinzek","2022-12-20 11:53","","2023-01-13 09:49","","Antigua and Barbuda","","",""
"10371305541","Buckman","","2022-12-16 10:15","9012780330","2022-12-16 11:35","Memphis","United States","Produtos químicos","",""
"10355355419","LOTS GROUP","","2022-12-14 17:29"," +46 8 553 500 00","2023-02-03 19:17","Stockholm","Sweden","Transporte/caminhões/ferrovias","",""
"10300769881","aesaccounting.net","","2022-12-09 18:24","","2022-12-12 08:54","","","","",""
"10217698076","Malizia Cidadania","","2022-12-01 09:30"," +1 212-714-0177","2022-12-01 09:50","New York","United States","","",""
"10215219735","Mariasemvergonha","","2022-12-01 00:22","","2022-12-01 09:44","","Brazil","","",""
"10210044590","ZOOBA LIVE MKT","","2022-11-30 12:53","","2022-12-07 10:03","","Brazil","","",""
"10202350229","Fintechmagalu","","2022-11-29 15:48","","2022-12-06 10:28","","Brazil","","",""
"10190411308","Viesgestaoagro","","2022-11-28 10:47","","2022-11-28 12:46","","","","",""
"10155565331","nãotem.com.br","","2022-11-22 10:23","","","","","","",""
"10154450749","Tech Mahindra Limited","","2022-11-22 08:40","","","Pune","India","","",""
"10154503995","psbetim.com.br","","2022-11-22 08:40","","","","","","",""
"10141560879","Sihmma Tecnologia","","2022-11-21 10:13","","2022-11-23 17:57","","Brazil","","",""
"10132093225","DNA de Vendas","","2022-11-19 08:21"," +55 11 2384-1502","2022-11-21 08:34","São Paulo","Brazil","Treinamento profissional e coaching","",""
"10123943806","Agrotoken","","2022-11-18 11:52","","2023-01-11 11:00","Buenos Aires","Argentina","","",""
"10113469752","diamondoffice.com.br","","2022-11-17 15:09","","2023-04-10 13:11","","Brazil","","",""
"10104707726","Industrias Colombo","","2022-11-17 09:29"," +55 17 3572-9000","2022-11-17 09:29","ADEL","Brazil","","",""
"10069835094","weme","","2022-11-14 12:07"," +55 19 3045-8300","2022-11-15 12:22","São Paulo","Brazil","Projeto","",""
"10056198801","MultiruralSC","","2022-11-11 16:06","","2022-11-14 09:35","","","","",""
"10054551333","Kalmar Global","","2022-11-11 11:52","","2022-11-28 17:47","Helsingfors","","Maquinário","",""
"10054301459","Agroceres","","2022-11-11 11:07","","","","Brazil","","",""
"10054112432","Yanmar","","2022-11-11 11:07","","","Osaka","Japan","Maquinário","",""
"10054356244","Massey Ferguson","","2022-11-11 11:07","","","Kenilworth","United Kingdom","","",""
"10054117453","Araguaia","Julia Borges","2022-11-11 11:07","","","","Brazil","","",""
"10054366622","Betfair","","2022-11-11 11:07","442088348000","","London","United Kingdom","Software de computador","",""
"10048403748","Sportingbet","","2022-11-10 17:03"," +44 20 7184 1800","","London","United Kingdom","Jogos de azar e cassinos","",""
"10047558004","Betfair","","2022-11-10 16:59","","","","Brazil","","",""
"10043557900","Eaiburguer","","2022-11-10 09:34","","","","Brazil","","",""
"10028629872","Concremat","","2022-11-08 13:33"," +55 71 3351-0795","2023-04-03 10:00","Rio De Janeiro","Brazil","Engenharia civil","",""
"10028787229","Zurich-Santander","","2022-11-08 13:33","","","","","","",""
"10028764781","MAHLE GmbH","","2022-11-08 13:33","","2023-01-11 14:44","Stuttgart","","Automotivo","",""
"10028683787","AXA","","2022-11-08 13:33"," +1 212-554-1234","","New York","United States","Seguro","",""
"10021912901","Cazamba","","2022-11-07 17:45","","2022-11-07 18:22","","","","",""
"10019917170","Csptech","","2022-11-07 15:18","","","","","","",""
"9976752702","Vivas Idiomas","","2022-11-04 11:29","","2022-11-04 14:05","","Brazil","","",""
"9950325889","bebidaspoty.com","","2022-11-01 16:18","","2022-11-24 09:39","","","","",""
"9940443250","Diva´s roupas e acessorias","","2022-10-31 17:45","","","","","","",""
"9936528172","Cirúrgica Mafra","","2022-10-31 08:13","","","","Brazil","Farmacêutica","",""
"9916911899","CNH Industrial","","2022-10-27 12:33","","","London","United Kingdom","","",""
"9912452775","Rojemac","Israel Tischler","2022-10-26 22:39","","2022-10-27 09:27","São Paulo","Brazil","","",""
"9906384195","Dinâmica Consultoria","","2022-10-26 12:24","","","Maringá","Brazil","Engenharia mecânica ou industrial","",""
"9905197835","L'Oréal","","2022-10-26 08:40","","","Montréal","","Bens de consumo","",""
"9863875637","Omny","","2022-10-21 12:10","","","","","","",""
"9842816142","monday.com","","2022-10-19 06:39","","2022-10-27 11:35","Bnei Brak","Israel","","",""
"9838211621","PagBank","Valéria Silva","2022-10-18 18:33","","","São Paulo","Brazil","","",""
"9835708439","InterConnect Brasil","","2022-10-18 13:58","","","São Paulo","Brazil","","",""
"9811547441","Wiley","","2022-10-14 11:48"," +1 201-748-6000","2022-10-20 10:19","Hoboken","United States","Publicação","",""
"9811306285","F.C. Internazionale Milano","","2022-10-14 11:03"," +39 02 2630 3235","","Milano","Italy","","",""
"9810741131","hapiseeds.com","","2022-10-14 10:34","","","","","","",""
"9801786166","Provitima","","2022-10-13 11:56","","","","","","",""
"9794842923","Nosso Meio","","2022-10-12 21:52","","2022-10-13 09:24","Curitiba","Brazil","","",""
"9755371116","Groubusiness","","2022-10-06 20:53","","2022-10-07 22:16","Itagüí","Colombia","","",""
"9745583894","Cervejaria Cidade Imperial","Gustavo Paulista","2022-10-05 17:42","55 24 2220 4800","2023-06-15 10:29","Petrópolis","Brazil","","",""
"9738679148","Crediario alves","","2022-10-05 08:19","","","","","","",""
"9729473111","Drogaria Fármaco Drogas","","2022-10-04 10:51","","","","","","",""
"9729012995","TMF Fertilizantes","","2022-10-04 08:51","","2022-10-19 11:07","","Brazil","","",""
"9702585219","Medquímica","","2022-09-30 10:38","55 32 3224 4087","","Juiz De Fora","Brazil","Farmacêutica","",""
"9702574745","legrandonline.com.br","","2022-09-30 10:38","","","Campinas","Brazil","Farmacêutica","",""
"9702240790","Laboratorio Neo Quimica","","2022-09-30 10:38","55 11 3627 4242","","Anápolis","Brazil","Farmacêutica","",""
"9694422371","New Holland","Leonardo Marinzek","2022-09-29 15:53","","2023-03-16 09:34","Turin","Italy","Maquinário","",""
"9694352821","Pacifil","","2022-09-29 15:38","","2023-02-28 12:42","","Brazil","","",""
"9686854932","SPRAY-TEC","","2022-09-28 17:18","","2022-11-22 14:00","Shelbyville","Brazil","","",""
"9685302050","Reckitt Benckiser Group","","2022-09-28 14:50","","","Slough","United Kingdom","","",""
"9674714026","Dafra Motos","","2022-09-27 09:59","","","Manaus","Brazil","Automotivo","",""
"9674170023","Grupo Globo","Pedro Alvim","2022-09-27 09:59","55 21 2540 2000","","Rio De Janeiro","Brazil","","",""
"9674617091","Subway","","2022-09-27 09:59","","","Goi?nia","Brazil","Restaurantes","",""
"9674187190","jaguar land rover","","2022-09-27 09:59","","","Coventry","","Automotivo","",""
"9647873048","Marispan Implementos Agricolas","","2022-09-22 17:12"," +551140039011","","","Brazil","Maquinário","",""
"9629585589","Levita","","2022-09-20 14:50","","","","","","",""
"9628233002","Vocedm","","2022-09-20 13:22","","","","Brazil","","",""
"9610684512","Nomo","","2022-09-16 20:01","","2022-09-19 09:01","","Brazil","","",""
"9608082579","Eleve Life","","2022-09-16 10:59","","","","Brazil","","",""
"9601147460","Lidershopping","","2022-09-15 09:58","","2022-09-28 12:05","","","","",""
"9598224252","Gethash","","2022-09-14 21:50","","2022-09-15 09:19","","","","",""
"9582737163","Concessionária Rota das Bandeiras SA","","2022-09-13 12:22","","","Itatiba","Brazil","","",""
"9582690648","Humanitarian Calçados","","2022-09-13 12:22","","","Bragança Paulista","Brazil","Varejo","",""
"9577709393","Kuaishou","Leonardo Marinzek","2022-09-12 15:37","","2022-10-11 10:47","Beijing","China","Software de computador","",""
"9574293344","Aegea","","2022-09-12 11:36"," +55 11 3818-8150","","São Paulo","Brazil","","",""
"9574113871","Banco Toyota","Leonardo Marinzek","2022-09-12 11:36","55 11 5504 2000","2022-10-10 10:24","São Paulo","Brazil","Bancário","",""
"9573622191","AVIVAR IncentiveWorks S.A.","","2022-09-12 10:08","","","Lisboa","Portugal","Marketing e publicidade","",""
"9573609497","Câmara de Comércio Brasil-Canadá","","2022-09-12 09:49","55 11 4058-0400","2022-11-01 15:39","São Paulo","Brazil","","",""
"9552921362","Stoneham Golf Club","","2022-09-08 13:36","","2022-09-11 16:10","Southampton","Australia","","",""
"9515240252","Pointer","","2022-09-02 17:14","","2022-09-20 08:18","Marechal Deodoro","Brazil","Construção","",""
"9512756241","BluePex","","2022-09-02 11:36","0800 771 71 72","2022-09-02 11:47","Limeira","Brazil","Tecnologia da informação e serviços","",""
"9505065062","Via Lacteos Transportes","Lucas Galante","2022-09-01 10:56","","2022-09-22 09:00","","Brazil","","",""
"9500209068","Ficar de Bem","","2022-08-31 15:25","","2022-09-01 11:12","","Brazil","","",""
"9500168272","Lactalis Nestle","","2022-08-31 15:09","7168236262","2022-09-15 09:17","Redhill","United Kingdom","","",""
"9446248504","Ballagro Agro Tecnologia","","2022-08-24 13:45","","","","Brazil","","",""
"9445046593","Snap Inc.","","2022-08-24 12:05"," +1 310-399-3339","","Santa Monica","United States","Software de computador","",""
"9444412770","Kwai","","2022-08-24 12:05","","","Beijing","China","","",""
"9445063478","Alibaba Group","","2022-08-24 12:05","","","Hangzhou Shi","China","","",""
"9445046592","nestle","","2022-08-24 12:05","","","Vevey","","Alimentos e bebidas","",""
"9437974296","B.done","","2022-08-23 15:26","","2023-04-11 15:00","","Brazil","","",""
"9431177533","Robert Walters","Leonardo Marinzek","2022-08-22 18:04","","2022-09-27 16:00","London","United Kingdom","Pessoal e recrutamento","",""
"9428251254","We Pink","Lucas Galante","2022-08-22 11:41","","2022-08-23 14:47","","Brazil","","",""
"9417650856","3M Company","","2022-08-19 11:58"," +1 651-733-1474","2022-10-14 11:14","Saint Paul","United States","Produtos químicos","",""
"9417284761","Remessa Online","","2022-08-19 10:34"," +55 11 4280-4659","2022-08-19 15:26","São Paulo","Brazil","","",""
"9409881911","McDonald's Brazil","","2022-08-18 14:59","","","Brasilia","Brazil","Alimentos e bebidas","",""
"9406209349","CHA Social","","2022-08-18 08:23"," +55 11 98795-5200","2022-08-18 08:40","","Brazil","","",""
"9368136842","Prime Cursos","Thiago Gui Pereira","2022-08-12 11:59","(47) 3037-4150","2022-08-15 13:16","Blumenau","Brazil","Software de computador","",""
