"Record ID","Nome do negócio","Data de criação","Data de fechamento","Etapa do negócio","Valor","Valor do contrato anual","Receita anual recorrente","Valor total do contrato","Valor previsto","Valor na moeda da empresa","Valor do negócio projetado na moeda local","Valor do negócio projetado","Motivo de fechamento perdido"
"11369948255","LOTS Group","2022-12-16 13:57","2022-12-31 13:57","Negócio perdido","","","","","","","","","Financeiro; Desinteresse/Declinou"
"11370793629","Eurochem (Retorno)","2022-12-15 15:45","2022-12-31 15:45","Agendamentos Aceitos (SAL)","","","","","","","","",""
"11266793340","SuperPrix","2022-12-08 08:55","2022-12-31 08:54","Negócio perdido","","","","","","","","","Sumiu"
"11234907490","Fintechmagalu","2022-12-06 10:03","2022-12-31 10:02","Negócio perdido","","","","","","","","","Não é ICP"
"11222170137","Pottencial Seguradora","2022-12-05 08:56","2022-12-31 08:56","Negócio perdido","","","","","","","","","Timing; Nós Declinamos"
"11156847374","BRF","2022-11-30 08:56","2022-11-30 08:55","Negócio perdido","","","","","","","","","Timing; Desinteresse/Declinou"
"11146533800","Banco next","2022-11-29 17:14","","Negócio perdido","","","","","","","","","Saiu da Empresa"
"11074697233","Carrefour","2022-11-24 11:14","","Negócio perdido","","","","","","","","","Timing; Maturação"
"11070312612","Grupo ATTO","2022-11-23 21:27","","Negócio perdido","","","","","","","","","Nós Declinamos"
"11067648141","Agua de cheiro","2022-11-23 18:01","2022-11-30 18:00","Negócio perdido","","","","","","","","","Financeiro"
"11027456697","Rennova","2022-11-21 10:27","","Agendamentos (MQL)","","","","","","","","",""
"10994423655","Stara","2022-11-18 09:54","","Negócio perdido","","","","","","","","","Maturação; Timing"
"10984262837","Negócio Lord Brasil - Maria","2022-11-17 15:09","","Agendamentos (MQL)","","","","","","","","",""
"10995330926","Agrotoken","2022-11-17 11:54","2022-11-30 11:53","Negócio perdido","","","","","","","","","Fechou com Concorrente; Financeiro"
"10980854596","Bebidas Poty","2022-11-17 10:46","","Negócio perdido","","","","","","","","","Timing; Financeiro"
"10969649465","Rumo","2022-11-16 16:38","2022-11-23 11:30","Negócio perdido","","","","","","","","","Não é ICP; Financeiro"
"10886978836","Evino","2022-11-10 16:39","2023-01-20 16:32","Negócio perdido","","","","","","","","","Maturação"
"10859783191","Hospital Alemão Oswaldo Cruz","2022-11-08 16:46","","Negócio perdido","","","","","","","","","Saiu da Empresa"
"10844814487","AD'ORO","2022-11-07 15:23","","Agendamentos (MQL)","","","","","","","","",""
"10766607698","Negócio Jussara Laticineos - Messias","2022-11-01 09:16","","Agendamentos (MQL)","","","","","","","","",""
"10677021007","Accor","2022-10-24 16:35","","Negócio perdido","","","","","","","","","Desinteresse/Declinou; Financeiro"
"10630221896","Wiley","2022-10-20 09:43","2022-10-31 09:41","Negócio perdido","","","","","","","","","Financeiro; Não é ICP"
"10619139943","Nestlé","2022-10-19 16:16","","Negócio perdido","","","","","","","","","Maturação; Nós Declinamos"
"10615291916","Negócio KWS Group - Bianca","2022-10-19 09:15","","Agendamentos (MQL)","","","","","","","","",""
"10615749476","SPRAYTEC","2022-10-18 10:43","2022-10-31 10:42","Negócio perdido","","","","","","","","","Não é ICP"
"10590690171","Zen SA","2022-10-17 09:55","","Negócio perdido","","","","","","","","","Não é ICP"
"10554387775","Loja Cocamar","2022-10-13 15:27","","Diagnóstico","","","","","","","","",""
"10423344008","EMS","2022-10-03 10:27","","Negócio perdido","","","","","","","","","Saiu da Empresa; Desinteresse/Declinou"
"10358562966","New Holland - Construction","2022-09-29 15:53","","Negócio perdido","","","","","","","","","Timing; Maturação"
"10289777579","Cocamar - Retomada","2022-09-23 18:05","2022-11-24 12:07","Cliente","361995.96","","","","361995.96","361995.96","361995.96","361995.96",""
"10282208687","Kuaishou","2022-09-22 21:56","","Negócio perdido","","","","","","","","","Timing; Desinteresse/Declinou"
"10279522896","3M - Construção e Elétrica","2022-09-22 17:07","2022-10-26 16:16","Negócio perdido","","","","","","","","","Maturação"
"10277598247","Negócio Enel X - Giovanna","2022-09-22 15:04","","Agendamentos (MQL)","","","","","","","","",""
"10268226307","CNN Brasil","2022-09-21 17:25","","Negócio perdido","","","","","","","","","Sumiu; Timing"
"10239355748","Nissan","2022-09-19 15:09","","Negócio perdido","","","","","","","","","Maturação; Saiu da Empresa"
"10288664398","Evera by Citrosuco","2022-09-16 11:47","2022-11-11 11:34","Cliente","463387.59","","","","463387.59","463387.59","463387.59","463387.59",""
"10194908756","CBC","2022-09-15 11:54","2023-01-20 16:27","Negócio perdido","","","","","","","","","Não é ICP"
"10161938786","HONDA","2022-09-12 16:40","","Negócio perdido","","","","","","","","","Maturação; Desinteresse/Declinou; Timing"
"10161251850","Gazin","2022-09-12 16:06","2023-01-20 16:27","Negócio perdido","","","","","","","","","Sumiu; Desinteresse/Declinou"
"10160287395","Dpaschoal","2022-09-12 12:24","","Negócio perdido","","","","","","","","","Financeiro"
"10117266732","Teuto","2022-09-08 15:00","2023-01-20 16:27","Negócio perdido","","","","","","","","","Financeiro"
"10070324108","Negócio Eletrobras - Renata","2022-09-05 13:47","","Agendamentos (MQL)","","","","","","","","",""
"10070151285","Rede Sim de Postos","2022-09-05 13:45","","Negócio perdido","","","","","","","","","Financeiro; Maturação"
"10067849484","Portobello - Pointer","2022-09-05 11:44","2022-10-03 11:38","Negócio perdido","","","","","","","","","Financeiro; Não é ICP"
"9943275788","Arlan","2022-08-26 11:53","","Agendamentos (MQL)","","","","","","","","",""
"9942666548","PepsiCo","2022-08-26 09:52","","Agendamentos (MQL)","","","","","","","","",""
"9922745002","Foco Aluguel de Carro","2022-08-24 16:55","","Negócio perdido","","","","","","","","","Financeiro; Timing"
"9910334978","Grupo Líder","2022-08-23 15:08","","Negócio perdido","","","","","","","","","Não é ICP"
"9907461386","We Pink","2022-08-23 11:32","","Negócio perdido","","","","","","","","","Não é ICP"
"9892494180","JBS","2022-08-22 08:28","","Proposta Enviada (SQL)","","","","","","","","",""
"9892391035","Bayer Pharmaceuticals","2022-08-22 08:28","","Negócio perdido","","","","","","","","","Não é ICP"
"9872374867"," Petz","2022-08-19 17:03","","Negócio perdido","","","","","","","","","Desinteresse/Declinou; Timing"
"9850189662","Lupo","2022-08-17 15:15","","Negócio perdido","","","","","","","","","Maturação"
"9849094535","Natura&CO","2022-08-17 14:05","","Negócio perdido","","","","","","","","","Maturação; Timing"
"9781871227","Hospital Sírio-Libanês","2022-08-10 15:12","2023-03-21 11:54","Cliente","390961.92","","","","390961.92","390961.92","390961.92","390961.92",""
"9767065765","Digio - Upsell III","2022-08-09 09:24","2022-08-31 09:24","Negócio perdido","9142.1","","","","9142.1","9142.1","0.0","0.0","Desinteresse/Declinou"
"9694270742","Mart Minas - Renovação 50%","2022-08-03 23:52","2022-09-07 21:28","Cliente","404911.98","","","","404911.98","404911.98","404911.98","404911.98",""
"9691251818","Zoop","2022-08-03 14:24","","Negócio perdido","","","","","","","","","Timing; Saiu da Empresa; Não é ICP; Financeiro"
"9671392000","Grupo Multitécnica","2022-08-01 22:26","","Negócio perdido","","","","","","","","","Financeiro; Nós Declinamos"
"9556284505","Ultragaz","2022-07-21 15:29","2022-10-07 14:44","Negócio perdido","","","","","","","","","Não é ICP"
"9554698256","Grupo Oncoclinicas","2022-07-21 12:54","","Negócio perdido","","","","","","","","","Timing; Maturação"
"9535985760","WAP","2022-07-19 17:08","","Negócio perdido","","","","","","","","","Financeiro; Timing"
"9534720436","Chopp Brahma Express","2022-07-19 14:08","","Negócio perdido","","","","","","","","","Maturação; Desinteresse/Declinou; Timing"
"9533639733","Moura Dubeux","2022-07-19 11:37","","Negócio perdido","","","","","","","","","Sumiu; Nós Declinamos"
"9714001725","Prime Cursos II  Upsell","2022-07-15 11:49","2022-08-31 11:47","Negócio perdido","","","","","","","","","Desinteresse/Declinou; Timing"
"9492773640","Pamplona Alimentos","2022-07-14 08:20","2022-10-19 18:30","Negócio perdido","622968.24","","","","622968.24","622968.24","0.0","0.0","Timing"
"9458850179","Renault","2022-07-11 11:43","","Negócio perdido","","","","","","","","","Saiu da Empresa; Sumiu"
"9435779855","Mallory Eletroportáteis ","2022-07-08 15:22","","Negócio perdido","","","","","","","","","Financeiro"
"9434955293","Embelleze","2022-07-07 12:09","2022-07-31 12:03","Negócio perdido","","","","","","","","","Nós Declinamos"
"9403380807","BRB - Banco de Brasília","2022-07-05 16:11","","Negócio perdido","","","","","","","","","Maturação; Timing; Desinteresse/Declinou"
"9367902616","Digio Upsell III","2022-07-01 17:45","2022-07-01 17:48","Cliente","10145.28","","","","10145.28","10145.28","10145.28","10145.28",""
"9342483878","Alper Seguros","2022-06-29 10:46","","Negócio perdido","","","","","","","","","Desinteresse/Declinou; Financeiro"
"9335197262","Mosaic Brasil","2022-06-28 16:26","2022-08-10 13:41","Negócio perdido","","","","","","","","","Fechou com Concorrente; Financeiro"
"9335038859","Cencosud","2022-06-28 16:26","","Negociação","950000.0","","","","950000.0","950000.0","665000.0","665000.0",""
"9321003094"," Jacto","2022-06-27 15:25","","Negócio perdido","","","","","","","","","Maturação"
"9320851333","Sonda Supermercados","2022-06-27 15:17","2022-08-10 13:43","Negócio perdido","","","","","","","","","Sumiu; Não é ICP"
"9266863369","Leite de Rosas","2022-06-21 18:39","","Negócio perdido","","","","","","","","","Desinteresse/Declinou; Sumiu"
"9152980401","Oracle | GA4","2022-06-10 10:06","","Negócio perdido","","","","","","","","","Não é ICP"
"9145229174","Ayumi Supermercados","2022-06-09 18:22","2022-08-10 13:39","Negócio perdido","","","","","","","","","Financeiro; Maturação"
"9142920225","Bombril ","2022-06-09 12:32","","Negócio perdido","510000.0","","","","510000.0","510000.0","0.0","0.0","Fechou com Concorrente; Financeiro"
"9134056239"," Enxuto Supermercados ","2022-06-08 16:10","2022-08-09 16:18","Negócio perdido","","","","","","","","","Financeiro"
"9059767372","Zenatur","2022-05-31 16:06","2022-08-10 13:41","Negócio perdido","","","","","","","","","Não é ICP"
"8988575343","Gillette Venus","2022-05-23 16:10","","Negócio perdido","","","","","","","","","Timing; Maturação"
"8947390720","Celeiro Supermercados","2022-05-18 15:02","2022-06-06 11:16","Negócio perdido","","","","","","","","","Financeiro; Não é ICP; Nós Declinamos"
"8938556759","Barry Callebaut","2022-05-17 16:41","2022-05-31 16:41","Negócio perdido","","","","","","","","","Sumiu"
"8891831424","Prima Foods ","2022-05-12 12:46","2022-05-31 16:02","Negócio perdido","","","","","","","","","Financeiro; Não é ICP"
"8860080758","Iquegami Supermercados","2022-05-09 17:09","","Negócio perdido","","","","","","","","","Financeiro; Não é ICP"
"9185739073","Farmadelivery II ","2022-05-06 00:00","2022-11-11 11:34","Cliente","616536.0","","","","616536.0","616536.0","616536.0","616536.0",""
"8785636688","NK Sementes (Syngenta) - Portal","2022-05-02 14:03","2023-02-09 10:04","Negócio perdido","720000.0","","","","720000.0","720000.0","0.0","0.0","Financeiro"
"8784596653","Valmont","2022-05-02 11:54","2022-05-17 16:42","Negócio perdido","","","","","","","","","Timing; Nós Declinamos"
"8808339045","Nim Genetics","2022-05-02 00:00","2022-07-04 19:01","Cliente","217872.0","","","","217872.0","217872.0","217872.0","217872.0",""
"8725975888","Tintas Eucatex II","2022-04-26 18:16","2022-05-10 16:55","Negócio perdido","","","","","","","","","Não é ICP"
"8525141673","Rocha","2022-04-05 15:00","2022-05-31 15:57","Negócio perdido","","","","","","","","","Não é ICP"
"8521807490","Grupo Redebrasil","2022-04-05 11:03","2022-04-20 12:13","Negócio perdido","","","","","","","","","Maturação"
"8510171833","Calçados Bibi","2022-04-04 13:44","2023-01-20 16:27","Negócio perdido","","","","","","","","","Desinteresse/Declinou; Sumiu"
"8509054492","Leão Alimentos e Bebidas","2022-04-04 12:30","","Negócio perdido","","","","","","","","","Saiu da Empresa; Timing; Desinteresse/Declinou"
"8444212021","Unipac","2022-04-01 17:47","2022-04-20 12:19","Negócio perdido","","","","","","","","","Financeiro; Não é ICP"
"8437713017","EUCATUR","2022-04-01 15:20","2022-04-06 11:49","Negócio perdido","","","","","","","","","Financeiro; Não é ICP"
"8401843003"," Castrillon Autopeças","2022-03-30 08:12","2022-05-17 16:42","Negócio perdido","","","","","","","","","Não é ICP"
"8391202363","Metalúrgica Fey ","2022-03-29 16:42","2022-04-10 15:16","Negócio perdido","","","","","","","","","Timing; Maturação"
"8344505364"," VetBR Saúde Animal ","2022-03-24 11:56","2022-04-20 12:13","Negócio perdido","","","","","","","","","Nós Declinamos; Não é ICP"
"8343752003","AD'ORO","2022-03-24 09:36","2022-05-31 15:59","Negócio perdido","","","","","","","","","Fechou com Concorrente; Timing; Maturação"
"8322344064","Grupo Semar Supermercados","2022-03-23 11:39","2022-08-09 16:18","Negócio perdido","","","","","","","","","Sumiu; Desinteresse/Declinou"
"8304208765","SAS Plataforma de Educação","2022-03-21 16:49","","Negócio perdido","307308.0","","","","307308.0","307308.0","0.0","0.0","Timing; Desinteresse/Declinou; Maturação"
"8301515184","Grupo Priner","2022-03-21 12:03","2022-04-07 09:52","Negócio perdido","","","","","","","","","Não é ICP; Nós Declinamos"
"8264520809","APSA","2022-03-18 17:35","2022-04-20 12:20","Negócio perdido","","","","","","","","","Nós Declinamos; Não é ICP"
"8263921938","Lunelli","2022-03-18 16:58","2022-07-14 11:37","Negócio perdido","","","","","","","","","Timing; Sumiu"
"8253354841","Prodap","2022-03-17 17:22","2022-06-13 08:50","Negócio perdido","","","","","","","","","Sumiu; Timing"
"8239766660","Shopping Recife","2022-03-16 10:16","2022-04-20 12:14","Negócio perdido","","","","","","","","","Maturação; Não é ICP; Timing"
"8235144739"," Porto Itapoá","2022-03-15 22:01","2022-08-24 11:12","Proposta Enviada (SQL)","445722.96","","","","445722.96","445722.96","222861.48","222861.48",""
"8242183344","Alterdata Software II","2022-03-15 16:39","2022-07-04 16:22","Negócio perdido","","","","","","","","","Timing; Não é ICP"
"8230722315","Wiz Soluções","2022-03-15 11:50","2022-10-19 18:30","Negócio perdido","","","","","","","","","Saiu da Empresa"
"8230620996"," Vale","2022-03-15 11:34","2022-04-20 12:17","Negócio perdido","","","","","","","","","Não é ICP"
"8218762164","Medabil","2022-03-14 11:21","2022-04-20 12:14","Negócio perdido","","","","","","","","","Não é ICP"
"8218716681","Freitas Varejo","2022-03-14 10:55","2022-05-09 17:32","Negócio perdido","","","","","","","","","Timing; Maturação"
"8195134813","Hospital Ernesto Dornelles","2022-03-11 09:59","2022-05-09 15:35","Negócio perdido","","","","","","","","","Não é ICP; Nós Declinamos"
"8188477081","7COMm","2022-03-10 17:34","2022-07-01 16:36","Negócio perdido","","","","","","","","","Não é ICP; Sumiu"
"8184437058","Daki ","2022-03-10 10:56","2022-04-20 12:18","Negócio perdido","","","","","","","","","Maturação"
"8184436663","NBCUniversal","2022-03-10 10:54","2022-05-31 16:00","Negócio perdido","","","","","","","","","Maturação; Timing"
"8176898414","Grupo OR II - Upsell","2022-03-09 13:43","2022-04-20 12:09","Negócio perdido","","","","","","","","","Nós Declinamos"
"8176775086","Digio II - Upsell (GA + LP + GD)","2022-03-09 13:43","2022-06-07 10:41","Cliente","30557.45","","","","30557.45","30557.45","30557.45","30557.45",""
"8169055888","UnidaSul","2022-03-08 18:23","2022-05-17 16:42","Negócio perdido","","","","","","","","","Nós Declinamos; Financeiro"
"8168985964","Tilibra / ACCO Brands ","2022-03-08 18:13","2022-05-17 16:20","Negócio perdido","","","","","","","","","Timing; Desinteresse/Declinou"
"8168954119","Deezer","2022-03-08 17:08","2022-07-06 11:54","Cliente","636000.0","","","","636000.0","636000.0","636000.0","636000.0",""
"8165996143","Liberty Seguros - Affinity","2022-03-08 11:00","2022-05-04 14:18","Negócio perdido","","","","","","","","","Financeiro"
