"Record ID","Nome do negócio","Valor na moeda da empresa","Etapa do negócio","Data de fechamento","Pipeline"
"14150808694","Americas Trading Group","","Agendamentos Aceitos (SAL)","2023-07-31 09:37","Enterprise - Macfor Dealflow"
"14046310302","Negócio MRV&Co","","Agendamentos Aceitos (SAL)","","Enterprise - Macfor Dealflow"
"14012014890","Coopermota","","Agendamentos Aceitos (SAL)","","Enterprise - Macfor Dealflow"
"13998110809","Millium","","Agendamentos Aceitos (SAL)","","Enterprise - Macfor Dealflow"
"13995430544","Cacau Show","","Agendamentos Aceitos (SAL)","","Enterprise - Macfor Dealflow"
"13980635406","Grupo GPS ","","Agendamentos Aceitos (SAL)","","Enterprise - Macfor Dealflow"
"13978649373","Paschoalotto","","Agendamentos Aceitos (SAL)","","Enterprise - Macfor Dealflow"
"13977428114","Piccadilly","","Agendamentos Aceitos (SAL)","","Enterprise - Macfor Dealflow"
"13977081120","Fitesa","","Agendamentos Aceitos (SAL)","","Enterprise - Macfor Dealflow"
"13967169613","Solinftec","","Agendamentos Aceitos (SAL)","","Enterprise - Macfor Dealflow"
"13969229060","Seres Motors","","Agendamentos Aceitos (SAL)","","Enterprise - Macfor Dealflow"
"13971262043","Dalben","","Proposta Enviada (SQL)","","Enterprise - Macfor Dealflow"
"13912182170","Dentsply Sirona","","Negócio perdido","","Enterprise - Macfor Dealflow"
"13911695518","Bernhoeft","","Agendamentos Aceitos (SAL)","","Enterprise - Macfor Dealflow"
"13898389069","Vittia","186000","Proposta Enviada (SQL)","","Enterprise - Macfor Dealflow"
"13888615997","Artecola Química","","Negócio perdido","","Enterprise - Macfor Dealflow"
"13868666770","Hospital Moinhos de Vento","","Agendamentos Aceitos (SAL)","","Enterprise - Macfor Dealflow"
"13834896405","Condor Super Center","","Agendamentos Aceitos (SAL)","","Enterprise - Macfor Dealflow"
"13804730662","Palladium Hotel","","Agendamentos Aceitos (SAL)","","Enterprise - Macfor Dealflow"
"13716191897","Unimed","","Negócio perdido","","Enterprise - Macfor Dealflow"
"13691308357","Meliá Hotels","","Agendamentos Aceitos (SAL)","","Enterprise - Macfor Dealflow"
"13691851841","Ecogen Brasil","","Negócio perdido","","Enterprise - Macfor Dealflow"
"13690301517","Palladium Hotel","","Agendamentos Aceitos (SAL)","","Enterprise - Macfor Dealflow"
"13422604381","Cooxupé - Ecommerce","","Agendamentos Aceitos (SAL)","","Enterprise - Macfor Dealflow"
"13389429885","Heineken","","Agendamentos Aceitos (SAL)","","Enterprise - Macfor Dealflow"
"13357688177","Cooxupé","","Agendamentos Aceitos (SAL)","","Enterprise - Macfor Dealflow"
"13316079946","Super Prix","","Negócio perdido","","Enterprise - Macfor Dealflow"
"13279967134","Brasil Atacadista","","Negócio perdido","","Enterprise - Macfor Dealflow"
