"Record ID","Nome do negócio","Valor na moeda da empresa","Etapa do negócio","Data de fechamento","Pipeline"
"12100865450","Cocamar Ecomm","236280","Cliente","2023-04-03 10:13","Enterprise - Macfor Dealflow"
"10289777579","Cocamar - Retomada","361995.96","Cliente","2022-11-24 12:07","Enterprise - Macfor Dealflow"
"10288664398","Evera by Citrosuco","463387.59","Cliente","2022-11-11 11:34","Enterprise - Macfor Dealflow"
"9781871227","Hospital Sírio-Libanês","390961.92","Cliente","2023-03-21 11:54","Enterprise - Macfor Dealflow"
"9694270742","Mart Minas - Renovação 50%","404911.98","Cliente","2022-09-07 21:28","Enterprise - Macfor Dealflow"
"9185739073","Farmadelivery II ","616536","Cliente","2022-11-11 11:34","Enterprise - Macfor Dealflow"
"8808339045","Nim Genetics","217872","Cliente","2022-07-04 19:01","Enterprise - Macfor Dealflow"
"8168954119","Deezer","636000","Cliente","2022-07-06 11:54","Enterprise - Macfor Dealflow"
"7846319660","Citrosuco","717721.2","Cliente","2022-07-14 12:07","Enterprise - Macfor Dealflow"
"8002485392","Syngenta - Renovação 50%","2500000","Cliente","2022-02-28 11:47","Enterprise - Macfor Dealflow"
"5902794385","Apsen Farmacêutica - Quintal Dev 30%","15488.68","Cliente","2021-09-10 19:19","Enterprise - Macfor Dealflow"
"5692550038","Inmetrics","144000","Cliente","2021-10-18 15:21","Enterprise - Macfor Dealflow"
"5381991819","Ottobock","251055.6","Negócio perdido","2021-09-22 14:02","Enterprise - Macfor Dealflow"
"5239041433","Syngenta - Plano Culturas","187500","Cliente","2021-06-21 14:25","Enterprise - Macfor Dealflow"
"5129855612","Eurofarma - Moviment C","436085.8","Cliente","2021-06-18 11:17","Enterprise - Macfor Dealflow"
"5043158529","Cocamar","183483.72","Cliente","2021-07-27 12:40","Enterprise - Macfor Dealflow"
"4791125254","Mart Minas","793482.72","Cliente","2021-09-22 19:59","Enterprise - Macfor Dealflow"
"4610570597","Eurofarma - Fortice","11000","Cliente","2021-04-08 14:52","Enterprise - Macfor Dealflow"
"4269224969","Stoller - Renovação","174000","Cliente","2021-05-07 09:26","Enterprise - Macfor Dealflow"
"4076605269","Apsen - Concorrência Digital","1704000","Cliente","2021-05-27 17:08","Enterprise - Macfor Dealflow"
"4070221690","Supercampo","361949.76","Negócio perdido","2022-03-11 16:59","Enterprise - Macfor Dealflow"
"4026644143","Bunge Profissional - Bid (75% FM)","296715.06","Cliente","2021-05-06 15:45","Enterprise - Macfor Dealflow"
"4014966192","Eurofarma - AltaD","7286","Cliente","2021-03-29 21:21","Enterprise - Macfor Dealflow"
"3362452546","Fundação Estudar - Novo negócio","189838.68","Negócio perdido","2021-01-12 14:33","Enterprise - Macfor Dealflow"
"3086522280","Eurofarma - Programática","20964","Negócio perdido","2021-01-12 14:34","Enterprise - Macfor Dealflow"
"3037214969","Assurant BemMais Seguro - Full Service","287280","Cliente","2021-02-03 18:02","Enterprise - Macfor Dealflow"
"2980707361","thyssenkrupp Springs & Stabilizers","8459.15","Cliente","2020-09-25 18:10","Enterprise - Macfor Dealflow"
