"Record ID","Nome do negócio","Valor na moeda da empresa","Etapa do negócio","Data de fechamento","Pipeline"
"13898389069","Vittia","186000","Proposta Enviada (SQL)","","Enterprise - Macfor Dealflow"
"12993392541","Positivo","400000","Proposta Enviada (SQL)","","Enterprise - Macfor Dealflow"
"13265384065","IAS","200000","Contrato Enviado","","Enterprise - Macfor Dealflow"
"12776263680","Eurochem","720000","Negócio perdido","2023-03-31 10:26","Enterprise - Macfor Dealflow"
"12627287415","GDM Seeds","","Negócio perdido","2023-03-31 14:40","Enterprise - Macfor Dealflow"
"11961457848","Imply Rental","","Negócio perdido","2023-02-28 09:01","Enterprise - Macfor Dealflow"
"12536215896","Dom Atacadista","324000","Negócio perdido","","Enterprise - Macfor Dealflow"
"12100865450","Cocamar Ecomm","236280","Cliente","2023-04-03 10:13","Enterprise - Macfor Dealflow"
"11369948255","LOTS Group","","Negócio perdido","2022-12-31 13:57","Enterprise - Macfor Dealflow"
"10995330926","Agrotoken","","Negócio perdido","2022-11-30 11:53","Enterprise - Macfor Dealflow"
"10289777579","Cocamar - Retomada","361995.96","Cliente","2022-11-24 12:07","Enterprise - Macfor Dealflow"
"10288664398","Evera by Citrosuco","463387.59","Cliente","2022-11-11 11:34","Enterprise - Macfor Dealflow"
"10161251850","Gazin","","Negócio perdido","2023-01-20 16:27","Enterprise - Macfor Dealflow"
"9910334978","Grupo Líder","","Negócio perdido","","Enterprise - Macfor Dealflow"
"9892494180","JBS","","Proposta Enviada (SQL)","","Enterprise - Macfor Dealflow"
"9781871227","Hospital Sírio-Libanês","390961.92","Cliente","2023-03-21 11:54","Enterprise - Macfor Dealflow"
"9767065765","Digio - Upsell III","9142.1","Negócio perdido","2022-08-31 09:24","Enterprise - Macfor Dealflow"
"9694270742","Mart Minas - Renovação 50%","404911.98","Cliente","2022-09-07 21:28","Enterprise - Macfor Dealflow"
"9534720436","Chopp Brahma Express","","Negócio perdido","","Enterprise - Macfor Dealflow"
"9714001725","Prime Cursos II  Upsell","","Negócio perdido","2022-08-31 11:47","Enterprise - Macfor Dealflow"
"9492773640","Pamplona Alimentos","622968.24","Negócio perdido","2022-10-19 18:30","Enterprise - Macfor Dealflow"
"9335038859","Cencosud","950000","Negociação","","Enterprise - Macfor Dealflow"
"9320851333","Sonda Supermercados","","Negócio perdido","2022-08-10 13:43","Enterprise - Macfor Dealflow"
"9142920225","Bombril ","510000","Negócio perdido","","Enterprise - Macfor Dealflow"
"9185739073","Farmadelivery II ","616536","Cliente","2022-11-11 11:34","Enterprise - Macfor Dealflow"
"8785636688","NK Sementes (Syngenta) - Portal","720000","Negócio perdido","2023-02-09 10:04","Enterprise - Macfor Dealflow"
"8808339045","Nim Genetics","217872","Cliente","2022-07-04 19:01","Enterprise - Macfor Dealflow"
"8509054492","Leão Alimentos e Bebidas","","Negócio perdido","","Enterprise - Macfor Dealflow"
"8304208765","SAS Plataforma de Educação","307308","Negócio perdido","","Enterprise - Macfor Dealflow"
"8235144739"," Porto Itapoá","445722.96","Proposta Enviada (SQL)","2022-08-24 11:12","Enterprise - Macfor Dealflow"
"8242183344","Alterdata Software II","","Negócio perdido","2022-07-04 16:22","Enterprise - Macfor Dealflow"
"8230722315","Wiz Soluções","","Negócio perdido","2022-10-19 18:30","Enterprise - Macfor Dealflow"
"8168954119","Deezer","636000","Cliente","2022-07-06 11:54","Enterprise - Macfor Dealflow"
"8165996143","Liberty Seguros - Affinity","","Negócio perdido","2022-05-04 14:18","Enterprise - Macfor Dealflow"
"8025843616","MRS II","","Negócio perdido","2022-03-04 17:07","Enterprise - Macfor Dealflow"
"7941424019","Unicampo","269234.28","Proposta Enviada (SQL)","2022-03-30 14:39","Enterprise - Macfor Dealflow"
"7922933409","Jussara","","Negócio perdido","2022-06-13 08:43","Enterprise - Macfor Dealflow"
"7846319660","Citrosuco","717721.2","Cliente","2022-07-14 12:07","Enterprise - Macfor Dealflow"
"6939016495","Oral Sin","458150.16","Negócio perdido","2022-05-17 16:25","Enterprise - Macfor Dealflow"
"6873735277","Urgo Medical","","Negócio perdido","","Enterprise - Macfor Dealflow"
"8002485392","Syngenta - Renovação 50%","2500000","Cliente","2022-02-28 11:47","Enterprise - Macfor Dealflow"
"6694150260","Aurora Alimentos","562721.4","Negócio perdido","2021-10-31 13:08","Enterprise - Macfor Dealflow"
"6633359955","Myra","179238","Negócio perdido","2022-04-20 12:08","Enterprise - Macfor Dealflow"
"5902794385","Apsen Farmacêutica - Quintal Dev 30%","15488.68","Cliente","2021-09-10 19:19","Enterprise - Macfor Dealflow"
"5868404302","Frísia","127874.04","Negociação","2021-10-29 18:48","Enterprise - Macfor Dealflow"
"5838111343","Neogrid","928021.56","Negócio perdido","2022-08-10 13:42","Enterprise - Macfor Dealflow"
"5721626449","Eurochem - Fertilizantes Tocantins","317610.12","Negócio perdido","2022-03-11 17:00","Enterprise - Macfor Dealflow"
"5692550038","Inmetrics","144000","Cliente","2021-10-18 15:21","Enterprise - Macfor Dealflow"
"5616367132","Lumen Technologies","804696.8","Negócio perdido","","Enterprise - Macfor Dealflow"
"5575860547","Omron","98680","Negócio perdido","2021-09-15 10:04","Enterprise - Macfor Dealflow"
"5557094673","Delivery Center","","Negócio perdido","2021-08-23 12:17","Enterprise - Macfor Dealflow"
"5536620117","Eurofarma - Genéricos","53796.6","Negócio perdido","2021-08-31 12:10","Enterprise - Macfor Dealflow"
"5417136532","Nissin Foods","128898.71","Negócio perdido","2021-08-09 11:37","Enterprise - Macfor Dealflow"
"5381991819","Ottobock","251055.6","Negócio perdido","2021-09-22 14:02","Enterprise - Macfor Dealflow"
"5359330094","Eurofarma - MAQ","296439.72","Negócio perdido","2022-03-11 17:03","Enterprise - Macfor Dealflow"
"5358144081","Alterdata Software","194676","Negócio perdido","2022-03-16 16:39","Enterprise - Macfor Dealflow"
"5346264983","MRS Logistica","238082.76","Negócio perdido","2022-03-11 17:02","Enterprise - Macfor Dealflow"
"5293157493","Panasonic","1021110.12","Negócio perdido","2022-02-15 15:08","Enterprise - Macfor Dealflow"
"5239041433","Syngenta - Plano Culturas","187500","Cliente","2021-06-21 14:25","Enterprise - Macfor Dealflow"
"5220031161","Lojas Benoit","201000","Negócio perdido","2021-06-21 11:06","Enterprise - Macfor Dealflow"
"5192868276","CAT PESA","18404.4","Negócio perdido","2021-06-01 16:08","Enterprise - Macfor Dealflow"
"5129855612","Eurofarma - Moviment C","436085.8","Cliente","2021-06-18 11:17","Enterprise - Macfor Dealflow"
"5127424545","Syngenta - Portal Unbranded","3084000","Negócio perdido","2022-02-14 15:14","Enterprise - Macfor Dealflow"
"5110682725","Assurant","233431.8","Negócio perdido","2022-03-11 17:01","Enterprise - Macfor Dealflow"
"5043158529","Cocamar","183483.72","Cliente","2021-07-27 12:40","Enterprise - Macfor Dealflow"
"4985313037","Santa Helena Indústria de Alimentos S/A","227936.16","Negócio perdido","2021-05-31 12:47","Enterprise - Macfor Dealflow"
"4790799739","Cartão de Todos","138925.43","Negócio perdido","2021-06-18 19:39","Enterprise - Macfor Dealflow"
"4791125254","Mart Minas","793482.72","Cliente","2021-09-22 19:59","Enterprise - Macfor Dealflow"
"4697563018","UOL Ads (40% Inside Sales)","67200","Negócio perdido","2021-08-23 14:50","Enterprise - Macfor Dealflow"
"4668934210","Eurofarma - Perlatte","276000","Negócio perdido","2021-07-15 12:10","Enterprise - Macfor Dealflow"
"4610928009","Amaggi ","384438","Negócio perdido","2022-02-15 15:08","Enterprise - Macfor Dealflow"
"4610570597","Eurofarma - Fortice","11000","Cliente","2021-04-08 14:52","Enterprise - Macfor Dealflow"
"4577929902","Evonik - Novo negócio","354988.44","Negócio perdido","2021-04-27 11:33","Enterprise - Macfor Dealflow"
"4269224969","Stoller - Renovação","174000","Cliente","2021-05-07 09:26","Enterprise - Macfor Dealflow"
"4181316962","DENSO - Concorrência","166324.2","Negócio perdido","2021-05-12 17:10","Enterprise - Macfor Dealflow"
"4169278268","Denso - Criação KV","12770.3","Negócio perdido","2021-03-29 17:22","Enterprise - Macfor Dealflow"
"4127018290","Cargill - Vídeos LatAm","85138.57","Negócio perdido","2021-03-18 21:53","Enterprise - Macfor Dealflow"
"4120219333","Barry Callebaut - Dashboards","40139.28","Negócio perdido","2021-03-18 21:51","Enterprise - Macfor Dealflow"
