Record ID;Data de criação;Data da última modificação;Data da última atividade;Data de fechamento;Etapa do negócio;Valor;Valor do contrato anual;Receita anual recorrente;Valor total do contrato;Valor previsto;Valor na moeda da empresa;Valor do negócio projetado na moeda local;Valor do negócio projetado;Motivo de fechamento perdido;Data da próxima atividade;Nome da empresa;Nome do negócio completo;Setor;ultima_etapa;Nome do negócio;Cliente;agendamento;diag;proposta;contrato;cliente
14250438037;2023-07-20T13:20:00Z;2023-07-20T13:33:00Z;2023-07-20T13:20:00Z;NA;Agendamentos (MQL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;CODA PAYMENTS;Coda Payments;Software de computador;Contato;Coda Payments;Nao;NA;NA;NA;NA;NA
14214450446;2023-07-18T15:17:00Z;2023-07-21T13:45:00Z;2023-07-19T11:44:00Z;NA;Agendamentos (MQL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;SICREDI;Sicredi;Serviços financeiros;Contato;Sicredi;Nao;NA;NA;NA;NA;NA
14213381032;2023-07-18T14:09:00Z;2023-07-24T10:11:00Z;2023-07-24T10:11:00Z;NA;Agendamentos (MQL);NA;NA;NA;NA;NA;NA;NA;NA;NA;2023-07-27T11:00:00Z;GETNET;Getnet ;Serviços financeiros;Contato;Getnet ;Nao;NA;NA;NA;NA;NA
14197387609;2023-07-17T16:25:00Z;2023-07-17T16:30:00Z;2023-07-17T16:25:00Z;NA;Agendamentos (MQL);NA;NA;NA;NA;NA;NA;NA;NA;NA;2023-07-24T16:00:00Z;CALÇADOS ANIGER;Calçados Aniger;Vestuário e moda;Agendamentos;Calçados Aniger;Nao;NA;NA;NA;NA;NA
14192131993;2023-07-17T08:22:00Z;2023-07-21T12:12:00Z;2023-07-21T11:00:00Z;NA;Agendamentos Aceitos (SAL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ITAÚ;Itaú;Bancário;Agendamentos;Itaú;Nao;NA;NA;NA;NA;NA
14150808694;2023-07-14T09:37:00Z;2023-07-14T09:38:00Z;NA;2023-07-31T09:37:00Z;Agendamentos Aceitos (SAL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;AMERICAS TRADING;Americas Trading Group;NA;Agendamento_Aceito;Americas Trading Group;Nao;NA;NA;NA;NA;NA
14109118720;2023-07-13T11:46:00Z;2023-07-21T09:45:00Z;2023-07-19T16:35:00Z;NA;Agendamentos Aceitos (SAL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;HUDL;Hudl;Software de computador;Agendamentos;Hudl;Nao;NA;NA;NA;NA;NA
14102501033;2023-07-13T09:29:00Z;2023-07-13T09:33:00Z;2023-07-13T09:29:00Z;NA;Agendamentos (MQL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;SCHMERSAL;Schmersal;Fabricação elétrica/eletrônica;Agendamentos;Schmersal;Nao;NA;NA;NA;NA;NA
14058957576;2023-07-11T10:39:00Z;2023-07-21T09:47:00Z;2023-07-20T11:58:00Z;NA;Agendamentos Aceitos (SAL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;KÄRCHER;Kärcher;Maquinário;Agendamentos;Kärcher;Nao;NA;NA;NA;NA;NA
14012014890;2023-07-07T16:56:00Z;2023-07-14T11:10:00Z;2023-07-13T14:21:00Z;NA;Agendamentos Aceitos (SAL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;COOPERMOTA;Coopermota;Agricultura;Agendamento_Aceito;Coopermota;Nao;NA;NA;NA;NA;NA
