Record ID,Data de criação,Data da última modificação,Data da última atividade,Data de fechamento,Etapa do negócio,Valor,Valor do contrato anual,Receita anual recorrente,Valor total do contrato,Valor previsto,Valor na moeda da empresa,Valor do negócio projetado na moeda local,Valor do negócio projetado,Motivo de fechamento perdido,Data da próxima atividade,Nome da empresa,Nome do negócio completo,Setor,ultima_etapa,Nome do negócio
14250438037,2023-07-20 13:20,2023-07-20 13:33,2023-07-20 13:20,,Agendamentos (MQL),,,,,,,,,,,CODA PAYMENTS,Coda Payments,Software de computador,Contato,Coda Payments
14214450446,2023-07-18 15:17,2023-07-21 13:45,2023-07-19 11:44,,Agendamentos (MQL),,,,,,,,,,,SICREDI,Sicredi,Serviços financeiros,Contato,Sicredi
14213381032,2023-07-18 14:09,2023-07-24 10:11,2023-07-24 10:11,,Agendamentos (MQL),,,,,,,,,,2023-07-27 11:00,GETNET,Getnet ,Serviços financeiros ,Contato,Getnet 
14197387609,2023-07-17 16:25,2023-07-17 16:30,2023-07-17 16:25,,Agendamentos (MQL),,,,,,,,,,2023-07-24 16:00,CALÇADOS ANIGER,Calçados Aniger,Vestuário e moda ,Agendamentos,Calçados Aniger
14192131993,2023-07-17 08:22,2023-07-21 12:12,2023-07-21 11:00,,Agendamentos Aceitos (SAL),,,,,,,,,,,ITAÚ,Itaú,Bancário,Agendamentos,Itaú
14150808694,2023-07-14 09:37,2023-07-14 09:38,,2023-07-31 09:37,Agendamentos Aceitos (SAL),,,,,,,,,,,AMERICAS TRADING,Americas Trading Group,,Agendamento_Aceito,Americas Trading Group
14109118720,2023-07-13 11:46,2023-07-21 09:45,2023-07-19 16:35,,Agendamentos Aceitos (SAL),,,,,,,,,,,HUDL,Hudl,Software de computador,Agendamentos,Hudl
14102501033,2023-07-13 09:29,2023-07-13 09:33,2023-07-13 09:29,,Agendamentos (MQL),,,,,,,,,,,SCHMERSAL,Schmersal,Fabricação elétrica/eletrônica,Agendamentos,Schmersal
14058957576,2023-07-11 10:39,2023-07-21 09:47,2023-07-20 11:58,,Agendamentos Aceitos (SAL),,,,,,,,,,,KÄRCHER,Kärcher,Maquinário ,Agendamentos,Kärcher
14012014890,2023-07-07 16:56,2023-07-14 11:10,2023-07-13 14:21,,Agendamentos Aceitos (SAL),,,,,,,,,,,COOPERMOTA,Coopermota,Agricultura ,Agendamento_Aceito,Coopermota
13998165266,2023-07-06 16:34,2023-07-21 11:03,2023-07-18 11:13,,Proposta Enviada (SQL),28000.0,,,,28000.0,28000.0,14000.0,14000.0,,,SAINT-GOBAIN,Saint-Gobain,Materiais de construção ,Negocios_Criados,Saint-Gobain
13998110809,2023-07-06 16:03,2023-07-07 09:46,2023-07-06 16:19,,Agendamentos Aceitos (SAL),,,,,,,,,,,MILIUM,Millium,Varejo,Agendamento_Aceito,Millium
13995430544,2023-07-06 13:46,2023-07-14 09:29,2023-07-12 16:34,,Agendamentos Aceitos (SAL),,,,,,,,,,,CACAU SHOW,Cacau Show,Alimentos e bebidas,Agendamento_Aceito,Cacau Show
13980635406,2023-07-05 13:47,2023-07-24 10:36,2023-07-24 10:36,,Agendamentos Aceitos (SAL),,,,,,,,,,,GRUPO GPS,Grupo GPS ,Serviços de instalações ,Agendamento_Aceito,Grupo GPS 
13978614688,2023-07-05 09:27,2023-07-07 16:58,2023-07-07 14:00,2023-07-07 16:58,Negócio perdido,,,,,,,,,Timing,,BOMBRIL,Bombril,Produtos químicos ,Agendamentos,Bombril
13978649373,2023-07-05 09:20,2023-07-20 11:24,2023-07-06 14:27,,Agendamentos Aceitos (SAL),,,,,,,,,,,PASCHOALOTTO,Paschoalotto,Telecomunicações,Agendamento_Aceito,Paschoalotto
13977428114,2023-07-05 07:47,2023-07-17 09:03,2023-07-07 09:04,,Agendamentos Aceitos (SAL),,,,,,,,,,,PICCADILLY,Piccadilly,Bens de consumo,Agendamento_Aceito,Piccadilly
13977081120,2023-07-05 06:50,2023-07-17 09:03,2023-07-07 10:30,,Agendamentos Aceitos (SAL),,,,,,,,,,,FITESA,Fitesa,,Agendamento_Aceito,Fitesa
13967169613,2023-07-04 09:50,2023-07-11 10:40,2023-07-05 10:48,,Agendamentos Aceitos (SAL),,,,,,,,,,,SOLINFTEC,Solinftec,Agricultura ,Agendamento_Aceito,Solinftec
13969229060,2023-07-03 00:00,2023-07-04 13:49,2023-07-04 13:46,,Agendamentos Aceitos (SAL),,,,,,,,,,,SERES MOTORS,Seres Motors,Automotivo,Agendamento_Aceito,Seres Motors
13912182170,2023-06-29 14:54,2023-07-19 15:18,2023-07-06 17:48,,Negócio perdido,,,,,,,,,Financeiro; Timing; Não é ICP,,DENTSPLY SIRONA,Dentsply Sirona,"Saúde, bem-estar e fitness ",Agendamento_Aceito,Dentsply Sirona
13911695518,2023-06-29 13:01,2023-07-20 11:36,2023-07-06 08:39,,Agendamentos Aceitos (SAL),,,,,,,,,,,BERNHOEFT,Bernhoeft,Contabilidade,Agendamento_Aceito,Bernhoeft
13898389069,2023-06-28 09:40,2023-07-19 14:59,2023-07-07 11:32,,Proposta Enviada (SQL),186000.0,,,,186000.0,186000.0,93000.0,93000.0,,,VITTIA,Vittia,,Proposta,Vittia
