"Record ID","Nome do negócio","Data de criação","Data da última modificação","Data da última atividade","Data de fechamento","Etapa do negócio","Valor","Valor do contrato anual","Receita anual recorrente","Valor total do contrato","Valor previsto","Valor na moeda da empresa","Valor do negócio projetado na moeda local","Valor do negócio projetado","Motivo de fechamento perdido","Data da próxima atividade"
"14250438037","Coda Payments","2023-07-20 13:20","2023-07-20 13:33","2023-07-20 13:20","","Agendamentos (MQL)","","","","","","","","","",""
"14214450446","Sicredi","2023-07-18 15:17","2023-07-21 13:45","2023-07-19 11:44","","Agendamentos (MQL)","","","","","","","","","",""
"14213381032","Getnet ","2023-07-18 14:09","2023-07-24 10:11","2023-07-24 10:11","","Agendamentos (MQL)","","","","","","","","","","2023-07-27 11:00"
"14197387609","Calçados Aniger","2023-07-17 16:25","2023-07-17 16:30","2023-07-17 16:25","","Agendamentos (MQL)","","","","","","","","","","2023-07-24 16:00"
"14196370523","Negócio Dentsply Sirona - Paula","2023-07-17 15:22","2023-07-17 15:22","2023-07-17 15:22","","Agendamentos (MQL)","","","","","","","","","",""
"14192131993","Itaú","2023-07-17 08:22","2023-07-21 12:12","2023-07-21 11:00","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"14150808694","Americas Trading Group","2023-07-14 09:37","2023-07-14 09:38","","2023-07-31 09:37","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"14109118720","Hudl","2023-07-13 11:46","2023-07-21 09:45","2023-07-19 16:35","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"14102501033","Schmersal","2023-07-13 09:29","2023-07-13 09:33","2023-07-13 09:29","","Agendamentos (MQL)","","","","","","","","","",""
"14058957576","Kärcher","2023-07-11 10:39","2023-07-21 09:47","2023-07-20 11:58","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"14058826584","Negócio Kärcher - Davi","2023-07-11 10:36","2023-07-11 10:38","2023-07-11 10:36","","Agendamentos (MQL)","","","","","","","","","",""
"14046310302","MRV&Co","2023-07-10 14:59","2023-07-19 14:56","2023-07-13 09:30","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"14044264861","Negócio Bombril - Gustavo","2023-07-10 11:28","2023-07-10 15:01","2023-07-10 11:28","2023-07-10 15:01","Negócio perdido","","","","","","","","","Timing",""
"14012014890","Coopermota","2023-07-07 16:56","2023-07-14 11:10","2023-07-13 14:21","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13998165266","Saint-Gobain","2023-07-06 16:34","2023-07-21 11:03","2023-07-18 11:13","","Proposta Enviada (SQL)","28000.0","","","","28000.0","28000.0","14000.0","14000.0","",""
"13998110809","Millium","2023-07-06 16:03","2023-07-07 09:46","2023-07-06 16:19","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13995430544","Cacau Show","2023-07-06 13:46","2023-07-14 09:29","2023-07-12 16:34","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13980635406","Grupo GPS ","2023-07-05 13:47","2023-07-24 10:36","2023-07-24 10:36","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13978614688","Bombril","2023-07-05 09:27","2023-07-07 16:58","2023-07-07 14:00","2023-07-07 16:58","Negócio perdido","","","","","","","","","Timing",""
"13978649373","Paschoalotto","2023-07-05 09:20","2023-07-20 11:24","2023-07-06 14:27","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13977428114","Piccadilly","2023-07-05 07:47","2023-07-17 09:03","2023-07-07 09:04","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
