Record ID,Nome do negócio,Setor
14213381032,Getnet ,Serviços financeiros 
14197387609,Calçados Aniger,Vestuário e moda 
14192131993,Itaú,Bancário 
14102501033,Schmersal,Fabricação elétrica/eletrônica 
14058957576,Kärcher,Maquinário 
14058826584, Kärcher,Maquinário 
14012014890,Coopermota,Agricultura 
13998165266,Saint-Gobain,Materiais de construção 
13980635406,Grupo GPS ,Serviços de instalações 
13978614688,Bombril,Produtos químicos 
13977428114,Piccadilly,Vestuário e moda 
13967169613,Solinftec,Agricultura 
13971262043,Dalben,Varejo 
13969229060,Seres Motors,Automotivo 
13912182170,Dentsply Sirona,"Saúde, bem-estar e fitness "
13868666770,Hospital Moinhos de Vento,Hospital e cuidados de saúde 
13690301517,Palladium Hotel,Hotelaria 
13489361412,Hydac,Maquinário 
13422604381,Cooxupé,Agricultura 
13411720787,VAGAS.com,Tecnologia da informação e serviços 
13389429885,Heineken,Alimentos e bebidas 
13356360793,Vence Tudo,Agricultura 
13279967134,Brasil Atacadista,Atacado 
13205725995,Saúde Petrobrás,Petróleo e energia 
13057235528,Cocal,Agricultura 
12993392541,Positivo,Tecnologia da informação e serviços 
12972551455, Grupo Bertolini,Mobília 
13265384065,IAS,Segurança e investigações 
12856570938,Itaú,Bancário 
12776263680,Eurochem,Produtos químicos 
12754190484,Isla Sementes,Agricultura 
12688511828,Verde AgriTech,Agricultura 
13514421933,Citrosuco Renovação ,Alimentos e bebidas 
12334431491,Reservas Votorantim,Atacado 
12086241635, Vibra,Logística e cadeia de suprimento 
12070187587,Lojas Benoit,Varejo 
12053554105, Amaggi,Agricultura 
12053254730, Amaggi,Agricultura 
11995618419, RANDON S.A.,Automotivo 
11995548005, Ottobock,"Saúde, bem-estar e fitness "
13515773783,MRS,Transporte/caminhões/ferrovias 
12100866664,Tembici,Esportes 
11266793340,SuperPrix,Varejo 
11156847374,BRF,Alimentos e bebidas 
11027456697,Rennova,Biotecnologia 
10994423655,Stara,Agricultura 
10984262837, Lord Brasil,Engenharia mecânica ou industrial 
10969649465,Rumo,Transporte/caminhões/ferrovias 
10859783191,Hospital Alemão Oswaldo Cruz,Hospital e cuidados de saúde 
10766607698, Jussara Laticineos,Alimentos e bebidas 
10277598247, Enel X,Energia elétrica 
10239355748,Nissan,Automotivo 
10194908756,CBC,Armazenamento 
10161938786,HONDA,Automotivo 
10117266732,Teuto,Farmacêutica 
10070151285,Rede Sim de Postos,Varejo 
10067849484,Portobello,Materiais de construção 
9943275788,Arlan,Produtos químicos 
9849094535,Natura&CO,Cosméticos 
9767065765,Digio,Tecnologia da informação e serviços 
9694270742,Mart Minas,Varejo 
9691251818,Zoop,Tecnologia da informação e serviços 
9671392000,Grupo Multitécnica,Engenharia mecânica ou industrial 
9556284505,Ultragaz,Energia elétrica 
9458850179,Renault,Automotivo 
9403380807,BRB,Bancário 
9335197262,Mosaic Brasil,Mineração e metais 
9335038859,Cencosud,Varejo 
9320851333,Sonda Supermercados,Varejo 
9142920225,Bombril ,Produtos químicos 
8891831424,Prima Foods ,Alimentos e bebidas 
8525141673,Rocha,Agricultura 
8521807490,Grupo Redebrasil,Varejo 
8510171833,Calçados Bibi,Vestuário e moda 
8444212021,Unipac,Educação superior 
8343752003,AD'ORO,Cosméticos 
8263921938,Lunelli,Vestuário e moda
8253354841,Prodap,Tecnologia da informação e serviços
8239766660,Shopping Recife,Varejo
8242183344,Alterdata Software II,Tecnologia da informação e serviços
8230722315,Wiz Soluções,Serviços financeiros 
8218762164,Medabil,Construção 
8218716681,Freitas Varejo,Varejo 
8195134813,Hospital Ernesto Dornelles,Hospital e cuidados de saúde 
8184437058,Daki ,Varejo
8168985964,Tilibra / ACCO Brands ,Varejo 
8168954119,Deezer,Tecnologia da informação e serviços
8165996143,Liberty Seguros,Seguro 
8105310560,Languiru,Alimentos e bebidas 
7992382761,Donizete Distribuidora,Varejo 
7807798195,Otis Elevadores,Maquinário 
7751338290,Comitê Internacional da Cruz Vermelha,Organização cívica e social 
7656709761,Blu Logistics Brasil,Logística e cadeia de suprimento 
7315686716,Bradesco Seguros,Seguro 
7276813832,Banco Safra,Bancário 
7274350383,Sonda,Tecnologia da informação e serviços 
7204413836,BSI,Segurança e investigações 
7058385200,NTT DATA Corporation,Tecnologia da informação e serviços 
7059246430,Banco Next,Bancário 
6992349113,WEG,Maquinário 
6964380599,Bom Jesus,Educação superior 
6939016495,Oral Sin,"Saúde, bem-estar e fitness "
6912322909,Assaí ,Atacado 
6908332884,Start Química,Produtos químicos 
6686826805,Kroton,Educação superior 
6633359955,Myra,Farmacêutica 
6324349316,Samarco,Mineração e metais 
6291157893,Verzani & Sandrini,Serviços de instalações 
6276415809,Kepler Weber,Agricultura 
6212368466,Mini Kalzone ,Alimentos e bebidas 
6180906591,Jabil,Eletrônicos de consumo 
6087747672,Machado Meyer,Serviços jurídicos 
6041976395,Sinter Futura,Produção de alimentos 
5938792470, Agropalma,Agricultura 
5902794385,Apsen Farmacêutica,Farmacêutica 
5898899895,James Delivery,Logística e cadeia de suprimento 
5870630303,SIM Rede de Postos,Varejo 
5691587426,Nidera,Agricultura 
5685480874,COFCO,Agricultura 
5616532641,Piracanjuba ,Alimentos e bebidas 
5613586184,Madesa Móveis,Mobília 
5565405728,Acqio,Serviços financeiros 
5557094673,Delivery Center,Varejo 
5536620117,Eurofarma,Farmacêutica 
5516116233,Adecoagro,Agricultura 
5514116482,Seguros SURA ,Seguro 
5496370183,Guarida Imóveis,Imobiliária 
5480327742,RANDON S.A.,Automotivo 
5470511669,Lojas Berlanda,Varejo 
5442109042,Ingram Micro,Tecnologia da informação e serviços 
5440817686,JLL,Consultoria de gestão 
5417136532,Nissin Foods,Alimentos e bebidas 
5383807092,Grupo NotreDame Intermédica,"Saúde, bem-estar e fitness "
5382207351,Uisa,Construção 
5381991819,Ottobock,"Saúde, bem-estar e fitness "
5359330094,Eurofarma,Farmacêutica 
