Record ID;Nome do negócio;Data de criação;Data de fechamento;Etapa do negócio;Valor_x;Valor do contrato anual_x;Receita anual recorrente;Valor total do contrato;Valor previsto;Valor na moeda da empresa;Valor do negócio projetado na moeda local;Valor do negócio projetado;Motivo de fechamento perdido_x;Negocios_Criados;Pipeline;Agendamentos;Agendamento_Aceito;Diagnostico;Proposta;Cliente;Valor_y;Valor do contrato anual_y;Motivo de fechamento perdido_y;Nome da empresa;Setor
14214450446;SICREDI;2023-07-18 15:17;;Agendamentos (MQL);;;;;;;;;;Nao;;Nao;Nao;Nao;Nao;Nao;;;;SICREDI;Serviços financeiros
14213381032;GETNET;2023-07-18 14:09;;Agendamentos (MQL);;;;;;;;;;Nao;;Nao;Nao;Nao;Nao;Nao;;;;GETNET;
14197387609;CALÇADOS ANIGER;2023-07-17 16:25;;Agendamentos (MQL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Nao;Nao;Nao;Nao;;;;CALÇADOS ANIGER;
14192131993;ITAÚ;2023-07-17 08:22;;Agendamentos (MQL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Nao;Nao;Nao;Nao;;;;ITAÚ;Bancário
14150808694;AMERICAS TRADING;2023-07-14 09:37;2023-07-31 09:37;Agendamentos Aceitos (SAL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;;AMERICAS TRADING;
14109118720;HUDL;2023-07-13 11:46;;Agendamentos (MQL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Nao;Nao;Nao;Nao;;;;HUDL;Software de computador
14102501033;SCHMERSAL;2023-07-13 09:29;;Agendamentos (MQL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Nao;Nao;Nao;Nao;;;;SCHMERSAL;Fabricação elétrica/eletrônica
14058957576;KÄRCHER;2023-07-11 10:39;;Agendamentos (MQL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Nao;Nao;Nao;Nao;;;;KÄRCHER;
14012014890;COOPERMOTA;2023-07-07 16:56;;Agendamentos Aceitos (SAL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;;COOPERMOTA;
13998165266;SAINT-GOBAIN;2023-07-06 16:34;;Proposta Enviada (SQL);28000.0;;;;28000.0;28000.0;14000.0;14000.0;;Sim;Enterprise - Macfor Dealflow;Nao;Nao;Nao;Nao;Nao;28000.0;;;SAINT-GOBAIN;
13998110809;MILLIUM;2023-07-06 16:03;;Agendamentos Aceitos (SAL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;;MILIUM;Varejo
13995430544;CACAU SHOW;2023-07-06 13:46;;Agendamentos Aceitos (SAL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;;CACAU SHOW;Alimentos e bebidas
13980635406;GRUPO GPS;2023-07-05 13:47;;Agendamentos Aceitos (SAL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;;GRUPO GPS;
13978614688;BOMBRIL;2023-07-05 09:27;2023-07-07 16:58;Negócio perdido;;;;;;;;;Timing;Sim;Enterprise - Macfor Dealflow;Sim;Nao;Nao;Nao;Nao;;;Timing;BOMBRIL;
13978649373;PASCHOALOTTO;2023-07-05 09:20;;Agendamentos Aceitos (SAL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;;PASCHOALOTTO;Telecomunicações
